coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,message,snow,lat,lon,temp,temp_min,temp_max,cloudiness,wind_speed,wind_direction,humidity
"{'lon': 67.71, 'lat': 47.8}","[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",stations,"{'temp': 263.15, 'feels_like': 258.62, 'temp_min': 263.15, 'temp_max': 263.15, 'pressure': 1028, 'humidity': 92}",200.0,"{'speed': 2, 'deg': 60}",{'all': 90},1582430665.0,"{'type': 1, 'id': 8826, 'country': 'KZ', 'sunrise': 1582424579, 'sunset': 1582462958}",21600.0,1516589.0,Zhezkazgan,200,,,,47.8,67.71,263.15,263.15,263.15,90.0,2.0,60.0,92.0
"{'lon': -50.01, 'lat': -24.79}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 287.58, 'feels_like': 285.5, 'temp_min': 287.58, 'temp_max': 287.58, 'pressure': 1018, 'humidity': 90, 'sea_level': 1018, 'grnd_level': 908}",,"{'speed': 4.21, 'deg': 76}",{'all': 79},1582430601.0,"{'country': 'BR', 'sunrise': 1582449077, 'sunset': 1582494960}",-10800.0,3466704.0,Castro,200,,,,-24.79,-50.01,287.58,287.58,287.58,79.0,4.21,76.0,90.0
"{'lon': -77.59, 'lat': 17.89}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 292.63, 'feels_like': 294.17, 'temp_min': 292.63, 'temp_max': 292.63, 'pressure': 1016, 'humidity': 88, 'sea_level': 1016, 'grnd_level': 969}",,"{'speed': 1.45, 'deg': 354}",{'all': 0},1582430666.0,"{'country': 'JM', 'sunrise': 1582371240, 'sunset': 1582413250}",-18000.0,3491161.0,Bull Savanna,200,,,,17.89,-77.59,292.63,292.63,292.63,0.0,1.45,354.0,88.0
"{'lon': 26.89, 'lat': -33.59}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 289.26, 'feels_like': 289.94, 'temp_min': 289.26, 'temp_max': 289.26, 'pressure': 1022, 'humidity': 88}",,"{'speed': 0.89, 'deg': 318, 'gust': 2.24}",{'all': 16},1582430429.0,"{'type': 3, 'id': 2011314, 'country': 'ZA', 'sunrise': 1582430097, 'sunset': 1582477032}",7200.0,964432.0,Port Alfred,200,,,,-33.59,26.89,289.26,289.26,289.26,16.0,0.89,318.0,88.0
"{'lon': 44.28, 'lat': -20.28}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 295.77, 'feels_like': 299.22, 'temp_min': 295.77, 'temp_max': 295.77, 'pressure': 1010, 'humidity': 95, 'sea_level': 1010, 'grnd_level': 1002}",,"{'speed': 1.62, 'deg': 62}",{'all': 47},1582430666.0,"{'country': 'MG', 'sunrise': 1582426672, 'sunset': 1582472110}",10800.0,1058381.0,Morondava,200,,,,-20.28,44.28,295.77,295.77,295.77,47.0,1.62,62.0,95.0
"{'lon': 55.77, 'lat': -21.36}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 296.16, 'feels_like': 295.26, 'temp_min': 290.93, 'temp_max': 298.15, 'pressure': 1013, 'humidity': 57}",10000.0,"{'speed': 3.1, 'deg': 30}",{'all': 20},1582430398.0,"{'type': 1, 'id': 2127, 'country': 'RE', 'sunrise': 1582423859, 'sunset': 1582469409}",14400.0,935215.0,Saint-Philippe,200,,,,-21.36,55.77,296.16,290.93,298.15,20.0,3.1,30.0,57.0
"{'lon': -175.2, 'lat': -21.2}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 302.15, 'feels_like': 304.57, 'temp_min': 302.15, 'temp_max': 302.15, 'pressure': 1008, 'humidity': 79}",10000.0,"{'speed': 5.7, 'deg': 140}",{'all': 75},1582430666.0,"{'type': 1, 'id': 7285, 'country': 'TO', 'sunrise': 1582479317, 'sunset': 1582524805}",46800.0,4032243.0,Vaini,200,,,,-21.2,-175.2,302.15,302.15,302.15,75.0,5.7,140.0,79.0
"{'lon': -152.41, 'lat': 57.79}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 266.15, 'feels_like': 258.55, 'temp_min': 266.15, 'temp_max': 266.15, 'pressure': 1012, 'humidity': 62}",14484.0,"{'speed': 6.2, 'deg': 250}",{'all': 90},1582430529.0,"{'type': 1, 'id': 7668, 'country': 'US', 'sunrise': 1582392203, 'sunset': 1582428197}",-32400.0,5866583.0,Kodiak,200,,,,57.79,-152.41,266.15,266.15,266.15,90.0,6.2,250.0,62.0
"{'lon': -134.97, 'lat': -23.12}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 299.74, 'feels_like': 301.37, 'temp_min': 299.74, 'temp_max': 299.74, 'pressure': 1014, 'humidity': 66, 'sea_level': 1014, 'grnd_level': 1014}",,"{'speed': 2.75, 'deg': 340}",{'all': 12},1582430402.0,"{'country': 'PF', 'sunrise': 1582383131, 'sunset': 1582428899}",-32400.0,4030556.0,Rikitea,200,,,,-23.12,-134.97,299.74,299.74,299.74,12.0,2.75,340.0,66.0
"{'lon': 94.77, 'lat': 28.17}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 292.23, 'feels_like': 290.73, 'temp_min': 292.23, 'temp_max': 292.23, 'pressure': 1024, 'humidity': 51, 'sea_level': 1024, 'grnd_level': 935}",,"{'speed': 1.72, 'deg': 330}",{'all': 71},1582430667.0,"{'country': 'IN', 'sunrise': 1582416761, 'sunset': 1582457788}",19800.0,1278969.0,Along,200,,,,28.17,94.77,292.23,292.23,292.23,71.0,1.72,330.0,51.0
"{'lon': -37.64, 'lat': 65.61}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 264.15, 'feels_like': 259.77, 'temp_min': 264.15, 'temp_max': 264.15, 'pressure': 990, 'humidity': 66}",,"{'speed': 1.5, 'deg': 210}",{'all': 0},1582430667.0,"{'type': 1, 'id': 81, 'country': 'GL', 'sunrise': 1582452407, 'sunset': 1582485693}",-10800.0,3424607.0,Tasiilaq,200,,,,65.61,-37.64,264.15,264.15,264.15,0.0,1.5,210.0,66.0
"{'lon': 149.13, 'lat': -36.23}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 298.15, 'feels_like': 295.38, 'temp_min': 298.15, 'temp_max': 298.15, 'pressure': 1023, 'humidity': 36}",10000.0,"{'speed': 3.6, 'deg': 50}",{'all': 65},1582430667.0,"{'type': 1, 'id': 9520, 'country': 'AU', 'sunrise': 1582400562, 'sunset': 1582447897}",39600.0,2170577.0,Cooma,200,,,,-36.23,149.13,298.15,298.15,298.15,65.0,3.6,50.0,36.0
"{'lon': 168.33, 'lat': -46.6}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 289.26, 'feels_like': 283.84, 'temp_min': 289.26, 'temp_max': 289.26, 'pressure': 1023, 'humidity': 75}",,"{'speed': 8.49, 'deg': 234, 'gust': 14.31}",{'all': 70},1582430393.0,"{'type': 3, 'id': 2008959, 'country': 'NZ', 'sunrise': 1582395090, 'sunset': 1582444154}",46800.0,2206939.0,Bluff,200,,,,-46.6,168.33,289.26,289.26,289.26,70.0,8.49,234.0,75.0
"{'lon': 20.04, 'lat': -34.53}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 288.42, 'feels_like': 288.06, 'temp_min': 288.15, 'temp_max': 288.71, 'pressure': 1023, 'humidity': 82}",,"{'speed': 1.5, 'deg': 120}",{'all': 21},1582430668.0,"{'type': 1, 'id': 1966, 'country': 'ZA', 'sunrise': 1582431680, 'sunset': 1582478736}",7200.0,1015776.0,Bredasdorp,200,,,,-34.53,20.04,288.42,288.15,288.71,21.0,1.5,120.0,82.0
"{'lon': -90.35, 'lat': -0.74}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 298.15, 'feels_like': 303.13, 'temp_min': 298.15, 'temp_max': 298.15, 'pressure': 1012, 'humidity': 100}",,"{'speed': 2.06, 'deg': 103}",{'all': 67},1582430668.0,"{'type': 3, 'id': 2005652, 'country': 'EC', 'sunrise': 1582373472, 'sunset': 1582417142}",-21600.0,3652764.0,Puerto Ayora,200,{'3h': 0.94},,,-0.74,-90.35,298.15,298.15,298.15,67.0,2.06,103.0,100.0
"{'lon': -28.7, 'lat': 38.52}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 285.06, 'feels_like': 281.58, 'temp_min': 285.06, 'temp_max': 285.06, 'pressure': 1032, 'humidity': 80, 'sea_level': 1032, 'grnd_level': 1007}",,"{'speed': 4.5, 'deg': 165}",{'all': 8},1582430506.0,"{'country': 'PT', 'sunrise': 1582446979, 'sunset': 1582486830}",-3600.0,3372707.0,Ribeira Grande,200,,,,38.52,-28.7,285.06,285.06,285.06,8.0,4.5,165.0,80.0
"{'lon': 18.42, 'lat': -33.93}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 289.34, 'feels_like': 287.18, 'temp_min': 288.15, 'temp_max': 290.93, 'pressure': 1018, 'humidity': 72}",10000.0,"{'speed': 3.6, 'deg': 130}",{'all': 0},1582430668.0,"{'type': 1, 'id': 1899, 'country': 'ZA', 'sunrise': 1582432109, 'sunset': 1582479085}",7200.0,3369157.0,Cape Town,200,,,,-33.93,18.42,289.34,288.15,290.93,0.0,3.6,130.0,72.0
"{'lon': 83.98, 'lat': 28.23}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 291.31, 'feels_like': 289.5, 'temp_min': 291.31, 'temp_max': 291.31, 'pressure': 1025, 'humidity': 40, 'sea_level': 1025, 'grnd_level': 929}",,"{'speed': 0.8, 'deg': 354}",{'all': 29},1582430669.0,"{'country': 'NP', 'sunrise': 1582419352, 'sunset': 1582460376}",20700.0,1282898.0,Pokhara,200,,,,28.23,83.98,291.31,291.31,291.31,29.0,0.8,354.0,40.0
"{'lon': 19.23, 'lat': -34.42}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 289.26, 'feels_like': 288.31, 'temp_min': 289.26, 'temp_max': 289.26, 'pressure': 1018, 'humidity': 87}",,"{'speed': 3.13, 'deg': 136, 'gust': 5.36}",{'all': 0},1582430395.0,"{'type': 3, 'id': 2006131, 'country': 'ZA', 'sunrise': 1582431882, 'sunset': 1582478923}",7200.0,3366880.0,Hermanus,200,,,,-34.42,19.23,289.26,289.26,289.26,0.0,3.13,136.0,87.0
"{'lon': -73.97, 'lat': 42.6}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 269.62, 'feels_like': 265.63, 'temp_min': 267.04, 'temp_max': 272.04, 'pressure': 1021, 'humidity': 68}",16093.0,"{'speed': 1.5, 'deg': 260}",{'all': 1},1582430370.0,"{'type': 1, 'id': 5137, 'country': 'US', 'sunrise': 1582371810, 'sunset': 1582410942}",-18000.0,5106841.0,Albany,200,,,,42.6,-73.97,269.62,267.04,272.04,1.0,1.5,260.0,68.0
"{'lon': 168.86, 'lat': -46.19}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 289.26, 'feels_like': 283.9, 'temp_min': 289.26, 'temp_max': 289.26, 'pressure': 1023, 'humidity': 76}",,"{'speed': 8.49, 'deg': 226, 'gust': 13.41}",{'all': 75},1582430503.0,"{'type': 3, 'id': 2008959, 'country': 'NZ', 'sunrise': 1582395002, 'sunset': 1582443986}",46800.0,6201424.0,Mataura,200,,,,-46.19,168.86,289.26,289.26,289.26,75.0,8.49,226.0,76.0
"{'lon': 102.5, 'lat': 71.97}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 261.61, 'feels_like': 253.21, 'temp_min': 261.61, 'temp_max': 261.61, 'pressure': 1001, 'humidity': 78, 'sea_level': 1001, 'grnd_level': 997}",,"{'speed': 7.21, 'deg': 203}",{'all': 100},1582430506.0,"{'country': 'RU', 'sunrise': 1582421040, 'sunset': 1582449799}",25200.0,2022572.0,Khatanga,200,,,,71.97,102.5,261.61,261.61,261.61,100.0,7.21,203.0,78.0
"{'lon': -68.51, 'lat': 63.75}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 238.15, 'feels_like': 231.34, 'temp_min': 238.15, 'temp_max': 238.15, 'pressure': 1005, 'humidity': 59}",24140.0,"{'speed': 4.1, 'deg': 310}",{'all': 5},1582430557.0,"{'type': 1, 'id': 797, 'country': 'CA', 'sunrise': 1582373177, 'sunset': 1582406954}",-18000.0,5983720.0,Iqaluit,200,,,,63.75,-68.51,238.15,238.15,238.15,5.0,4.1,310.0,59.0
